Geography ID,Transportation Burden Pct Income,Energy Burden Pct Income
G01109189300,0.038506154,0.0489
G01117030405,0.034084406,0.0471
G01109189000,0.023816547,0.0369
G01109188800,0.040710683,0.0513999999999999
G01107050400,0.049841416,0.0484999999999999
G01107050300,0.035343065,0.0699
G01107050200,0.03622614,0.0657
G01107050100,0.035642829,0.0550999999999999
G01113030902,0.045707711,0.0304
G01107050000,0.031143345,0.0324
G01105686800,0.04198331,0.0767
G01103005702,0.033020852,0.0407
G01103005701,0.051251027,0.0471
G01103005600,0.056445332,0.0356999999999999
G01103005500,0.047924586,0.0513999999999999
G01103005405,0.048109565,0.0496999999999999
G01103005404,0.03882161,0.0275
G01103005304,0.034750205,0.0323
G01103005303,0.026160611,0.033
G01103005302,0.031728394,0.0287
G01103005301,0.030512077,0.0262
G01103005200,0.042403604,0.0419
G01103005107,0.042314267,0.0289
G01103005103,0.034197711,0.0375
G01103001000,0.032949821,0.0356
G01103000800,0.027080026,0.047
G01103000700,0.054416185,0.0529
G01103000400,0.025499702,0.0419
G01103000300,0.036916467,0.0295
G01103000200,0.026977413,0.0243
G01103000100,0.052297857,0.0613
G01101006100,0.028164976,0.0546
G01101006000,0.047653935,0.0445
G01123961900,0.043601592,0.0457
G01101005902,0.030648661,0.0653
G01101005800,0.03512293,0.0494
G01113030600,0.042879008,0.0466
G01101005700,0.036662738,0.0378
G01101005610,0.040101138,0.0292
G01101005607,0.028157953,0.0191
G01101005604,0.032664038,0.024
G01101005504,0.025364854,0.0206
G01101005503,0.02414361,0.0212
G01127020100,0.034076682,0.064
G01113030402,0.036699031,0.04
G01101005502,0.048085863,0.0243
G01113030401,0.032181228,0.0331
G01101005501,0.033406632,0.0349
G01101005407,,0.0249
G01109189200,0.047853149,0.053
G01101005302,0.02758125,0.0457
G01101005101,0.042917167,0.0377
G01101003200,0.03525655,0.0443
G01101002800,0.027230879,0.0412999999999999
G01101002600,0.022986318,0.0298
G01101002202,0.03270977,0.0668
G01101002201,0.026600037,0.0762
G01109189100,0.049183996,0.0478
G01101001800,0.024965522,0.042
G01101001300,0.028194006,0.0371
G01101001100,0.026005713,0.0788
G01101001000,0.028130558,0.1253999999999999
G01101000600,0.032498194,0.0667
G01101000200,0.032223551,0.0650999999999999
G01133965900,0.053353548,0.0617
G01101000100,0.022728893,0.0379
G01125011800,0.026625313,0.1063
G01099076100,0.046574955,0.0458999999999999
G01099075900,0.037832841,0.0416
G01099075700,0.042930518,0.0894
G01099075600,0.036681526,0.0975
G01097007700,0.028944378,0.1077999999999999
G01097007600,0.034925749,0.0982
G01097007500,0.02388578,0.0889
G01103005106,0.035519421,0.0388
G01097007400,0.030790431,0.0463
G01097007300,0.045548469,0.0501999999999999
G01097007202,0.026480113,0.063
G01097007201,0.054735516,0.0372
G01097007101,0.034970421,0.0416
G01125010802,0.030891194,0.0308999999999999
G01097007000,0.02559365,0.0304
G01097006902,0.039980556,0.0444
G01097006801,0.029123991,0.0266999999999999
G01097006702,0.050015104,0.0508
G01097006701,0.047045654,0.0458999999999999
G01117030501,0.033550246,0.0369
G01097006600,0.037438556,0.0352
G01117030316,0.03630804,0.0301
G01097006407,0.040317897,0.0323
G01097006406,0.027175173,0.0224
G01097006405,0.031858327,0.0277
G01097006403,0.039775591,0.0465
G01117030303,0.018195513,0.021
G01097006402,0.03774519,0.0464
G01097006302,0.03289176,0.0322
G01097006301,0.037620025,0.038
G01097006200,0.039372727,0.0392
G01097006103,0.039755794,0.0513
G01097006102,0.025094099,0.0511
G01097005900,0.036017046,0.0431
G01097005700,0.048046801,0.0313
G01097005600,0.034235064,0.0326
G01101000900,0.025558147,0.0233999999999999
G01073002303,0.031587604,0.0841
G01043964200,0.040910673,0.0395999999999999
G01073001600,0.023917792,0.0648
G01073001200,0.025265652,0.075
G01073011108,0.020519202,0.0306999999999999
G01117030211,0.030167356,0.0195
G01073001100,0.022571609,0.0493
G01073000300,0.041303522,0.075
G01071951000,0.047386949,0.0496
G01061050400,0.049969512,0.0467999999999999
G01097005300,0.026226484,0.0569
G01069042000,0.046141787,0.043
G01069041500,0.027171765,0.0479
G01113031200,0.028966277,0.0455
G01055001600,0.027210974,0.0587
G01055001200,0.020728704,0.0493
G01073000400,0.038676183,0.0708
G01069040202,0.029668267,0.023
G01067030200,0.028346312,0.0501999999999999
G01061050600,0.043517471,0.0438
G01115040106,0.038893183,0.0329
G01059973700,0.046550935,0.0554
G01069040600,0.027321019,0.0466
G01125010602,0.035770662,0.0324
G01073014412,0.026343517,0.0237
G01089010100,0.04157547,0.0256999999999999
G01073014413,0.023385264,0.0181
G01069040500,0.024188171,0.0141999999999999
G01077010700,0.038892207,0.0724
G01059973400,0.041184589,0.0475
G01003010600,0.031689732,0.0533
G01059973300,0.034566833,0.0617
G01003010500,0.027690354,0.0312
G01059973200,0.034961141,0.0404
G01003010400,0.053076186,0.0332
G01089011012,0.01892637,0.0153
G01059973000,0.039598116,0.0479
G01073010802,0.020671481,0.0152
G01097001902,0.032909795,0.0476999999999999
G01057020200,0.030945445,0.0455
G01001020600,0.032697639,0.032
G01057020100,0.045190786,0.0521
G01001020500,0.03297726,0.0250999999999999
G01097002400,0.030287323,0.0711
G01057020000,0.036070647,0.0603
G01097002200,0.043826634,0.0643
G01097007103,0.028322137,0.0341
G01073002100,0.028481275,0.0726
G01055011100,0.049282469,0.0509
G01101005409,0.023579398,0.0351
G01055011001,0.039320665,0.0462
G01089002701,0.021248588,0.0172
G01117030502,0.034817026,0.0245
G01055010900,0.054718476,0.0491
G01055010800,0.036997773,0.053
G01055010401,0.036426239,0.0398
G01055001700,0.02724166,0.0575
G01049961100,0.034560144,0.0395999999999999
G01055001100,0.019870298,0.0279
G01055000400,0.03248566,0.0389
G01101005603,0.043331716,0.0584
G01031010300,0.03524796,0.0321
G01125010701,0.033451156,0.0266
G01055000300,0.022631758,0.0892
G01117030607,0.033432179,0.0252
G01019955800,0.050125352,0.0593
G01085781100,0.030255276,0.0727
G01089002400,0.033452887,0.0475
G01053970400,0.046951711,0.0458999999999999
G01017954200,0.035788965,0.044
G01053970500,0.040965195,0.0487999999999999
