id,metric,value,moe,state_id,dataset_id
210,COPD among adults >= 18,5.6,0.503571429,35,14
211,Cancer (excluding skin cancer) among adults >= 18,7.7,0.5875,35,14
212,Coronary heart disease among adults >= 18,4.3,0.419642857,35,14
213,Stroke among adults >= 18,2.6,0.377678571,35,14
214,Diabetes among adults >= 18,10.8,0.713392857,35,14
215,Current asthma among adults >= 18,8.1,0.755357143,35,14
216,Mental health not good for >= 14 days among adults >= 18,12.1,0.923214286,35,14
217,COPD among adults >= 18,6.7,0.629464286,37,14
218,Cancer (excluding skin cancer) among adults >= 18,9.9,0.755357143,37,14
219,Coronary heart disease among adults >= 18,4.7,0.503571429,37,14
220,Stroke among adults >= 18,3.3,0.503571429,37,14
221,Diabetes among adults >= 18,9.7,0.713392857,37,14
222,Current asthma among adults >= 18,13.1,1.049107143,37,14
223,Mental health not good for >= 14 days among adults >= 18,16.7,1.258928571,37,14
224,COPD among adults >= 18,5.4,0.629464286,38,14
225,Cancer (excluding skin cancer) among adults >= 18,7.5,0.629464286,38,14
226,Coronary heart disease among adults >= 18,4.7,0.671428571,38,14
227,Stroke among adults >= 18,3,0.503571429,38,14
228,Diabetes among adults >= 18,10.8,0.88125,38,14
229,Current asthma among adults >= 18,8.9,0.713392857,38,14
230,Mental health not good for >= 14 days among adults >= 18,13.7,0.923214286,38,14
231,COPD among adults >= 18,5.7,0.713392857,39,14
232,Cancer (excluding skin cancer) among adults >= 18,7.9,0.797321429,39,14
233,Coronary heart disease among adults >= 18,4.2,0.5875,39,14
234,Stroke among adults >= 18,3.2,0.503571429,39,14
235,Diabetes among adults >= 18,12.6,1.049107143,39,14
236,Current asthma among adults >= 18,10.4,1.007142857,39,14
237,Mental health not good for >= 14 days among adults >= 18,15.9,1.342857143,39,14
238,COPD among adults >= 18,7.2,1.007142857,36,14
239,Cancer (excluding skin cancer) among adults >= 18,7.7,1.091071429,36,14
240,Coronary heart disease among adults >= 18,3.6,0.629464286,36,14
241,Stroke among adults >= 18,4,0.965178571,36,14
242,Diabetes among adults >= 18,10.1,1.133035714,36,14
243,Current asthma among adults >= 18,10.1,1.300892857,36,14
244,Mental health not good for >= 14 days among adults >= 18,14.8,1.510714286,36,14
245,COPD among adults >= 18,5.3,0.377678571,40,14
246,Cancer (excluding skin cancer) among adults >= 18,7.5,0.419642857,40,14
247,Coronary heart disease among adults >= 18,4.3,0.335714286,40,14
248,Stroke among adults >= 18,2.8,0.251785714,40,14
249,Diabetes among adults >= 18,11.3,0.5875,40,14
250,Current asthma among adults >= 18,10.3,0.5875,40,14
251,Mental health not good for >= 14 days among adults >= 18,15.4,0.671428571,40,14
252,COPD among adults >= 18,9.5,0.545535714,42,14
253,Cancer (excluding skin cancer) among adults >= 18,9.1,0.503571429,42,14
254,Coronary heart disease among adults >= 18,5.6,0.419642857,42,14
255,Stroke among adults >= 18,4.3,0.335714286,42,14
256,Diabetes among adults >= 18,13,0.629464286,42,14
257,Current asthma among adults >= 18,11.4,0.629464286,42,14
258,Mental health not good for >= 14 days among adults >= 18,18.3,0.797321429,42,14
259,COPD among adults >= 18,8.2,0.671428571,43,14
260,Cancer (excluding skin cancer) among adults >= 18,6.8,0.545535714,43,14
261,Coronary heart disease among adults >= 18,5.3,0.461607143,43,14
262,Stroke among adults >= 18,4.3,0.461607143,43,14
263,Diabetes among adults >= 18,13.3,0.797321429,43,14
264,Current asthma among adults >= 18,12.3,0.88125,43,14
265,Mental health not good for >= 14 days among adults >= 18,18.1,1.049107143,43,14
266,COPD among adults >= 18,6.6,0.671428571,44,14
267,Cancer (excluding skin cancer) among adults >= 18,9.1,0.755357143,44,14
268,Coronary heart disease among adults >= 18,4.4,0.545535714,44,14
269,Stroke among adults >= 18,3.9,0.503571429,44,14
270,Diabetes among adults >= 18,10.3,0.88125,44,14
271,Current asthma among adults >= 18,11.5,0.839285714,44,14
272,Mental health not good for >= 14 days among adults >= 18,17.8,1.007142857,44,14
273,COPD among adults >= 18,7.5,0.965178571,45,14
274,Cancer (excluding skin cancer) among adults >= 18,9.2,1.049107143,45,14
275,Coronary heart disease among adults >= 18,4.7,0.88125,45,14
276,Stroke among adults >= 18,4.3,0.797321429,45,14
277,Diabetes among adults >= 18,11.5,1.216964286,45,14
278,Current asthma among adults >= 18,10.1,1.091071429,45,14
279,Mental health not good for >= 14 days among adults >= 18,14.9,1.300892857,45,14
287,COPD among adults >= 18,6.8,0.713392857,3,14
288,Cancer (excluding skin cancer) among adults >= 18,8.6,0.713392857,3,14
289,Coronary heart disease among adults >= 18,4.4,0.545535714,3,14
290,Stroke among adults >= 18,2.6,0.461607143,3,14
291,Diabetes among adults >= 18,11.5,0.839285714,3,14
292,Current asthma among adults >= 18,13.3,1.049107143,3,14
293,Mental health not good for >= 14 days among adults >= 18,15.5,1.175,3,14
294,COPD among adults >= 18,7.7,0.5875,46,14
295,Cancer (excluding skin cancer) among adults >= 18,9,0.545535714,46,14
296,Coronary heart disease among adults >= 18,5,0.461607143,46,14
297,Stroke among adults >= 18,3.8,0.377678571,46,14
298,Diabetes among adults >= 18,12.9,0.671428571,46,14
299,Current asthma among adults >= 18,9,0.629464286,46,14
300,Mental health not good for >= 14 days among adults >= 18,15.7,0.923214286,46,14
301,COPD among adults >= 18,6.9,1.594642857,47,14
302,Cancer (excluding skin cancer) among adults >= 18,6.9,0.923214286,47,14
303,Coronary heart disease among adults >= 18,4.1,0.797321429,47,14
304,Stroke among adults >= 18,2.6,0.545535714,47,14
305,Diabetes among adults >= 18,9.1,1.342857143,47,14
306,Current asthma among adults >= 18,8.3,1.216964286,47,14
307,Mental health not good for >= 14 days among adults >= 18,12.8,2.014285714,47,14
308,COPD among adults >= 18,11.6,0.965178571,48,14
309,Cancer (excluding skin cancer) among adults >= 18,9.1,0.797321429,48,14
310,Coronary heart disease among adults >= 18,5.8,0.671428571,48,14
311,Stroke among adults >= 18,5,0.629464286,48,14
312,Diabetes among adults >= 18,14.8,1.007142857,48,14
313,Current asthma among adults >= 18,11.7,1.007142857,48,14
314,Mental health not good for >= 14 days among adults >= 18,20.3,1.300892857,48,14
315,COPD among adults >= 18,5.7,0.545535714,7,14
316,Cancer (excluding skin cancer) among adults >= 18,6.8,0.545535714,7,14
317,Coronary heart disease among adults >= 18,4.4,0.461607143,7,14
318,Stroke among adults >= 18,3.6,0.461607143,7,14
319,Diabetes among adults >= 18,13.9,0.923214286,7,14
320,Current asthma among adults >= 18,7.9,0.5875,7,14
321,Mental health not good for >= 14 days among adults >= 18,16.2,0.965178571,7,14
322,COPD among adults >= 18,4.4,0.461607143,49,14
323,Cancer (excluding skin cancer) among adults >= 18,7.8,0.503571429,49,14
324,Coronary heart disease among adults >= 18,2.9,0.335714286,49,14
325,Stroke among adults >= 18,2.5,0.335714286,49,14
326,Diabetes among adults >= 18,8.7,0.545535714,49,14
327,Current asthma among adults >= 18,11,0.713392857,49,14
328,Mental health not good for >= 14 days among adults >= 18,16.6,0.88125,49,14
329,COPD among adults >= 18,7.1,0.5875,51,14
330,Cancer (excluding skin cancer) among adults >= 18,8.7,0.5875,51,14
331,Coronary heart disease among adults >= 18,4,0.377678571,51,14
332,Stroke among adults >= 18,3.7,0.377678571,51,14
333,Diabetes among adults >= 18,12.8,0.713392857,51,14
334,Current asthma among adults >= 18,9.9,0.755357143,51,14
335,Mental health not good for >= 14 days among adults >= 18,16.4,0.923214286,51,14
340,COPD among adults >= 18,7.2,0.713392857,50,14
341,Cancer (excluding skin cancer) among adults >= 18,10.2,0.713392857,50,14
342,Coronary heart disease among adults >= 18,4.2,0.503571429,50,14
343,Stroke among adults >= 18,3.1,0.461607143,50,14
344,Diabetes among adults >= 18,8.4,0.671428571,50,14
345,Current asthma among adults >= 18,12.9,0.839285714,50,14
