id,metric,value,moe,state_id,dataset_id
139,Mental health not good for >= 14 days among adults >= 18,20.1,1.21696428571429,27,45
140,COPD among adults >= 18,5.8,0.545535714285715,1,45
141,Cancer (excluding skin cancer) among adults >= 18,8.3,0.545535714285714,1,45
142,Coronary heart disease among adults >= 18,4.6,0.461607142857143,1,45
143,Stroke among adults >= 18,2.7,0.377678571428572,1,45
144,Diabetes among adults >= 18,10.5,0.713392857142858,1,45
145,Current asthma among adults >= 18,11.3,0.713392857142857,1,45
146,Mental health not good for >= 14 days among adults >= 18,14.6,0.797321428571429,1,45
147,COPD among adults >= 18,5.1,0.419642857142857,29,45
148,Cancer (excluding skin cancer) among adults >= 18,7.3,0.461607142857143,29,45
149,Coronary heart disease among adults >= 18,4,0.377678571428571,29,45
150,Stroke among adults >= 18,3.3,0.335714285714286,29,45
151,Diabetes among adults >= 18,12,0.629464285714286,29,45
152,Current asthma among adults >= 18,10.4,0.629464285714286,29,45
153,Mental health not good for >= 14 days among adults >= 18,14.5,0.755357142857143,29,45
154,COPD among adults >= 18,8.8,0.629464285714286,28,45
155,Cancer (excluding skin cancer) among adults >= 18,10.2,0.5875,28,45
156,Coronary heart disease among adults >= 18,5.7,0.503571428571429,28,45
157,Stroke among adults >= 18,3.6,0.377678571428571,28,45
158,Diabetes among adults >= 18,11.1,0.755357142857143,28,45
159,Current asthma among adults >= 18,13.1,0.839285714285714,28,45
160,Mental health not good for >= 14 days among adults >= 18,16.3,0.965178571428571,28,45
161,COPD among adults >= 18,8.9,0.5875,30,45
162,Cancer (excluding skin cancer) among adults >= 18,8.6,0.503571428571428,30,45
163,Coronary heart disease among adults >= 18,4.6,0.419642857142857,30,45
164,Stroke among adults >= 18,3.4,0.335714285714286,30,45
165,Diabetes among adults >= 18,11.6,0.629464285714286,30,45
166,Current asthma among adults >= 18,11.9,0.713392857142857,30,45
167,Mental health not good for >= 14 days among adults >= 18,16.7,0.88125,30,45
168,COPD among adults >= 18,5.3,0.419642857142857,31,45
169,Cancer (excluding skin cancer) among adults >= 18,8.3,0.419642857142858,31,45
170,Coronary heart disease among adults >= 18,4.3,0.335714285714286,31,45
171,Stroke among adults >= 18,3.2,0.335714285714286,31,45
172,Diabetes among adults >= 18,10.2,0.503571428571429,31,45
173,Current asthma among adults >= 18,9.9,0.545535714285715,31,45
174,Mental health not good for >= 14 days among adults >= 18,14.8,0.671428571428571,31,45
175,COPD among adults >= 18,8.4,0.713392857142858,33,45
176,Cancer (excluding skin cancer) among adults >= 18,8.3,0.671428571428571,33,45
177,Coronary heart disease among adults >= 18,4.8,0.503571428571429,33,45
178,Stroke among adults >= 18,4.2,0.503571428571429,33,45
179,Diabetes among adults >= 18,11.7,0.797321428571428,33,45
180,Current asthma among adults >= 18,10.4,0.797321428571429,33,45
181,Mental health not good for >= 14 days among adults >= 18,17.3,1.04910714285714,33,45
182,COPD among adults >= 18,10.5,1.09107142857143,32,45
183,Cancer (excluding skin cancer) among adults >= 18,7.8,0.88125,32,45
184,Coronary heart disease among adults >= 18,6.8,0.839285714285714,32,45
185,Stroke among adults >= 18,4.5,0.671428571428571,32,45
186,Diabetes among adults >= 18,15.3,1.21696428571429,32,45
187,Current asthma among adults >= 18,9.4,1.04910714285714,32,45
188,Mental health not good for >= 14 days among adults >= 18,15.7,1.21696428571429,32,45
189,COPD among adults >= 18,6.7,0.5875,34,45
190,Cancer (excluding skin cancer) among adults >= 18,9.2,0.629464285714286,34,45
191,Coronary heart disease among adults >= 18,4.1,0.419642857142857,34,45
192,Stroke among adults >= 18,3.4,0.461607142857143,34,45
193,Diabetes among adults >= 18,8.4,0.629464285714285,34,45
194,Current asthma among adults >= 18,11.7,0.839285714285714,34,45
195,Mental health not good for >= 14 days among adults >= 18,16.4,1.00714285714286,34,45
196,COPD among adults >= 18,7.6,0.965178571428572,4,45
197,Cancer (excluding skin cancer) among adults >= 18,8.1,0.923214285714285,4,45
198,Coronary heart disease among adults >= 18,5,0.797321428571429,4,45
199,Stroke among adults >= 18,4.9,0.88125,4,45
200,Diabetes among adults >= 18,12.1,1.04910714285714,4,45
201,Current asthma among adults >= 18,9.2,1.00714285714286,4,45
202,Mental health not good for >= 14 days among adults >= 18,15.3,1.38482142857143,4,45
203,COPD among adults >= 18,5.7,0.629464285714286,41,45
204,Cancer (excluding skin cancer) among adults >= 18,8.4,0.755357142857143,41,45
205,Coronary heart disease among adults >= 18,4.2,0.545535714285714,41,45
206,Stroke among adults >= 18,2.9,0.461607142857143,41,45
207,Diabetes among adults >= 18,9.6,0.797321428571429,41,45
208,Current asthma among adults >= 18,10.4,1.00714285714286,41,45
209,Mental health not good for >= 14 days among adults >= 18,14.1,1.175,41,45
